parent,distance,keytag,importance,biz_ext,type,photos,building,typecode,shopinfo,poiweight,adname,featured_reviews_remake,tel,id,address,space_num,pname,biz_type,cityname,childtype,atag,name,location,shopid,favorite_num,featured_reviews,category,query_grid_id,page
B001D06X8X,[],凉菜,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],18339895620,B0M6ZU1RYL,西影路606号市委党校小区,[],陕西省,diner,西安市,320,[],重庆凉拌菜,"108.968244,34.223047",[],[],[],catering,388,1
B0H2JSUKD2,[],糖水,[],[],餐饮服务;冷饮店;冷饮店,[],[],050700,1,[],雁塔区,[],13926223353;18535982673,B0KDPS45IV,西影路508号西影TIME一楼南侧刘匠仁糖水铺,[],陕西省,diner,西安市,202,糖水铺,刘匠仁糖水铺(西影TIME园区店),"108.970448,34.222130",[],[],[],catering,388,1
B0H2JSUKD2,[],川菜,[],[],餐饮服务;中餐厅;四川菜(川菜),[],[],050102,0,[],雁塔区,[],18066835010,B0K2A1RF3B,曲江新西影路512号西影TIME3层,[],陕西省,diner,西安市,202,双人餐,朝花里川菜小馆(西影TIME店),"108.970602,34.222311",[],[],[],catering,388,1
B0H2JSUKD2,[],轻食,[],[],餐饮服务;糕饼店;糕饼店,[],[],050800,0,[],雁塔区,[],15829331223,B0L15H0II6,西影路西影TIME 2F,[],陕西省,diner,西安市,202,蛋挞,澳挞·现烤可颂蛋挞(西影TIME店),"108.970384,34.222159",[],[],[],catering,388,1
B0H2JSUKD2,[],西式快餐,[],[],餐饮服务;快餐厅;肯德基,[],[],050301,0,[],雁塔区,[],4009200715,B0K6ZZR9E5,西影路496号西影TIME,[],陕西省,diner,西安市,202,鸡翅,肯德基(西影店),"108.970310,34.222757",[],[],[],catering,388,1
B0H2JSUKD2,[],陕西菜,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,1,[],雁塔区,[],029-89550789,B0KUZCHW8R,大雁塔街道西影路512号西影TIME3层01号商铺,[],陕西省,diner,西安市,202,"凉粉,手抓羊肉",袁家村关中印象体验地(西影TIME店),"108.970649,34.222600",[],[],[],catering,388,1
B0H2JSUKD2,[],奶茶/茶饮,[],[],餐饮服务;咖啡厅;咖啡厅,[],[],050500,0,[],雁塔区,[],4000100100,B0LRSK4IXX,西影路496号西影TIME F3层,[],陕西省,diner,西安市,202,三明治,瑞幸咖啡(西影TIME-3F店),"108.970560,34.222256",[],[],[],catering,388,1
B0H2JSUKD2,[],咖啡,[],[],餐饮服务;咖啡厅;咖啡厅,[],[],050500,0,[],雁塔区,[],18991833156,B0I36C8GKJ,西影路496号西影TIME F2层,[],陕西省,diner,西安市,202,"冰美式,手冲咖啡,柠檬水",Oops咖啡(西影TIME店),"108.970558,34.222035",[],[],[],catering,388,1
B0H2JSUKD2,[],甜品店,[],[],餐饮服务;甜品店;甜品店,[],[],050900,0,[],雁塔区,[],17392881768,B0LA1L74ZT,曲江新区西影Time一层1-07号,[],陕西省,diner,西安市,202,冰粉,巧八角冰粉冰浆(西安西影厂店),"108.970575,34.222425",[],[],[],catering,388,1
B0H2JSUKD2,[],披萨,[],[],餐饮服务;快餐厅;必胜客,[],[],050303,1,[],雁塔区,[],4009701890,B0K6Z5XXIP,西影路508号西影TIME西北角一层1-23号铺位,[],陕西省,diner,西安市,202,"披萨,芝士,意面",必胜客(西影TIME店),"108.970520,34.222728",[],[],[],catering,388,1
[],[],"餐饮服务,糕饼店,糕饼店",[],[],餐饮服务;糕饼店;糕饼店,[],[],050800,0,[],雁塔区,[],029-85511007,B0I0H7QZXJ,金裕花园南门旁(大雁塔地铁站C东南口步行500米),[],陕西省,diner,西安市,[],点心,德懋恭(西影路店),"108.969449,34.223574",[],[],[],catering,388,1
B0H2JSUKD2,[],奶茶/茶饮,[],[],餐饮服务;冷饮店;冷饮店|生活服务;生活服务场所;生活服务场所,[],[],050700|070000,0,[],雁塔区,[],18165303632,B0H2VSWOHP,芙蓉西路西影TIME南,[],陕西省,diner,西安市,202,[],荷田水铺(西安西影TIME店),"108.970425,34.222125",[],[],[],catering,388,1
B0H2JSUKD2,[],烤肉,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],[],B0LU9MDAJI,西影TIME三层,[],陕西省,diner,西安市,202,[],古鲁特烤肉自助餐厅(西安西影TIME店),"108.970537,34.222237",[],[],[],catering,388,1
