grid_id,area_km2,distance_to_bell_m,distance_to_bell_km,final_grid_id,poi_total,final_grid_id_cat,catering,life_service,shopping,poi_density,road_length_m,road_density_km_per_km2,intersection_count,mean_intersection_degree,intersection_density_n_per_km2,model_fitted,model_residual
388,0.25,4945.399179704339,4.9453991797043395,388.0,219.0,388.0,80.0,26.0,113.0,876.0,3718.1426568728043,14.872570627491218,7.0,3.0,28.0,434.0088862777112,441.9911137222888
390,0.25,4795.247831565319,4.795247831565319,390.0,101.0,390.0,29.0,29.0,43.0,404.0,3179.647555116955,12.71859022046782,9.0,3.7777777777777777,36.0,550.5564111924386,-146.55641119243865
391,0.25,4513.23231693347,4.51323231693347,391.0,197.0,391.0,78.0,50.0,69.0,788.0,6938.457750700404,27.75383100280162,20.0,3.6,80.0,570.2440951794614,217.7559048205386
392,0.25,4096.530098339933,4.096530098339933,392.0,85.0,392.0,24.0,23.0,38.0,340.0,3952.140342457347,15.808561369829388,7.0,3.4285714285714284,28.0,610.4284369038171,-270.4284369038171
393,0.25,4405.303016379715,4.405303016379714,393.0,121.0,393.0,40.0,41.0,40.0,484.0,1447.041790023484,5.788167160093936,6.0,3.8333333333333335,24.0,614.4176469596118,-130.41764695961183
394,0.25,4746.770532229617,4.7467705322296165,394.0,47.0,394.0,8.0,17.0,22.0,188.0,1106.601288447249,4.426405153788997,2.0,3.5,8.0,523.8851625163245,-335.8851625163245
395,0.25,3700.520469690351,3.700520469690351,395.0,104.0,395.0,41.0,29.0,34.0,416.0,7945.356050966326,31.781424203865303,35.0,3.1142857142857143,140.0,630.2145729055009,-214.21457290550086
402,0.25,4803.046866849728,4.803046866849728,402.0,124.0,402.0,44.0,42.0,38.0,496.0,2251.1913107825267,9.004765243130107,4.0,4.0,16.0,576.4308160478794,-80.43081604787938
416,0.25,4039.676666036098,4.039676666036098,416.0,378.0,416.0,134.0,96.0,148.0,1512.0,4353.135645737057,17.412542582948227,16.0,3.4375,64.0,619.8400618689301,892.1599381310699
417,0.25,4409.549113643679,4.4095491136436795,417.0,88.0,417.0,22.0,36.0,30.0,352.0,4197.6602481411055,16.790640992564423,6.0,3.3333333333333335,24.0,553.0085335952573,-201.0085335952573
418,0.25,3332.5882803895256,3.3325882803895257,418.0,22.0,418.0,8.0,6.0,8.0,88.0,3746.339278019087,14.985357112076349,5.0,3.2,20.0,694.518612017446,-606.518612017446
419,0.25,4105.656620521018,4.105656620521018,419.0,37.0,419.0,6.0,13.0,18.0,148.0,5547.334892166298,22.189339568665194,15.0,3.066666666666667,60.0,565.0934560587849,-417.0934560587849
